id,solution_label,file_name,folder_name,date,Ag 328.068,Ag 338.289,Al 308.215,Al 396.152,As 188.980,As 234.984,B 249.678,B 249.772,Ba 455.403,Ba 493.408,Bi 223.061,Bi 306.771,Ca 317.933,Ca 396.847,Ca 422.673,Cd 214.439,Cd 226.502,Ce 418.659,Ce 446.021,Co 228.615,Co 230.786,Co 231.160,Cr 267.716,Cr 283.563,Cu 324.754,Cu 327.395,Fe 238.204,Fe 259.940,Ga 287.423,Ga 417.204,In 410.176,In 451.131,K 766.491,K 769.897,La 333.749,La 408.671,Li 610.365,Li 670.783,Mg 279.553,Mg 280.270,Mg 285.213,Mn 257.610,Mn 259.372,Mo 281.615,Mo 284.824,Na 568.821,Na 588.995,Na 589.592,Ni 230.299,Ni 231.604,P 213.618,P 214.914,Pb 220.353,Pb 405.781,S 180.669,S 181.972,Sb 206.834,Sb 217.582,Sc 357.253,Sc 361.383,Sn 189.925,Sn 283.998,Sr 407.771,Sr 421.552,Th 283.730,Th 335.123,Th 401.913,Ti 334.941,Ti 337.280,Tl 276.789,Tl 351.923,U 385.957,U 409.013,V 309.310,V 311.837,Y 360.074,Y 371.029,Y 377.433,Yb 328.937,Yb 369.419,Zn 202.548,Zn 213.857,Au 242.794_2,Au 242.794_1,Si 250.690,Si 251.432,Si 251.611,Si 288.158,Cu 213.598,Cu 224.700,Nb 309.417,Nb 313.078,Ta 263.558,Ta 268.517,W 207.912,W 209.475,Mo 202.032,Mo 204.598,Se 203.985,Se 196.026,Au 267.594_2,Pd 340.458,Pt 214.424,Au 267.594_1,Pd 360.955,Pt 306.471,Pt 299.796,Si 288.158_2,Si 288.158_1,Ni 221.648,Zn 213.857_1,Zn 334.502_1,Cr 357.868,Zn 213.857_2,Co 238.892,Cd 228.802,Al 394.401,Sb 231.146,Tl 190.794,Zn 334.502_2,Fe 239.563,Mg 279.800,P 178.222,Pb 280.199,Ga 294.363,In 230.606,V 292.401,Sn 242.950,Sr 216.596,Mn 294.921,Ti 336.122,Li 460.289,Bi 222.821,Zn 334.502
181,CRM-BLANK D,1404-01-26 1022 1013.csv,oes 4ac,1404/01/26,-11.7517,84.7666,-126.809,83.7331,1.48892,44.6414,29.6297,28.5711,7.85373,6.47036,161.711,148.448,191.711,342.31,304.485,-0.0866271,-2.15843,9.00716,7.1824,-3.41435,-2.17732,0.769957,20.8763,26.7564,-8.88867,-9.99761,-105.573,154.311,16.5848,21.4681,10.805,-372.61,-7.67976,-840.845,2.45053,10.6932,76.1909,-0.66408,-2441.87,47.0399,33.8182,3.97286,-0.563719,26.8868,25.9697,3259.58,662.13,727.354,-9.86947,13.786,21.72,-11.4652,46.2552,82.3076,800.955,879.205,-7.32392,10.0383,-0.924799,-0.163985,-12.9812,-3.0128,-1.34867,-4.49553,-0.167661,-14.0092,0.702942,20.1063,9.0815,96.1243,41.6041,17.124,-39.7963,11.2559,-1.06227,0.185612,0.57048,-0.0316788,0.193002,0.285327,7.43994,3.38837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,CRM-BLANK M,1404-01-26 1022 1013.csv,oes 4ac,1404/01/26,-25.5297,68.2268,73.4175,292.684,26.4592,63.4255,27.6167,28.7364,12.9521,11.5327,155.176,154.112,656.618,821.052,699.687,0.522609,-1.84567,12.0967,5.6315,-1.01884,-1.04077,2.3137,25.1021,29.0778,-0.794536,-1.15572,317.964,548.778,9.6856,18.1048,63.5522,-307.322,32.3214,-575.165,2.01343,11.1288,74.438,-3.4299,-2385.78,95.4966,77.9038,12.2581,7.91022,24.8205,24.7053,3993.16,458.688,528.484,-16.3477,11.0455,24.0135,-10.532,184.674,166.692,512.885,500.361,-20.7167,6.04378,0.481272,-0.200789,-33.7658,-3.98889,-1.27038,-4.33033,2.20693,-6.32767,-1.35908,48.1124,34.6075,9.67158,-1.1724,24.2452,118.818,10.3173,-0.721281,0.287715,0.744559,-0.0635473,-0.0156991,0.324183,2.86815,0.15094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,BLANK 2663,1404-01-26 1022 1013.csv,oes 4ac,1404/01/26,-31.181,61.3641,-177.783,30.6983,63.2182,47.151,26.2672,26.3492,3.69639,2.41193,149.477,180.809,-12.2115,131.901,104.816,0.814825,-1.37257,10.1573,9.61052,-3.46051,-0.180997,-0.121264,17.2671,21.3823,-8.98359,-10.7357,-65.5966,193.801,14.5386,16.8965,43.567,-378.529,-19.9945,-1552.25,2.64144,10.6991,77.5991,-5.32477,-2460.36,36.0431,19.9579,11.369,6.36019,24.9582,24.0055,3716.07,95.7414,223.0,-14.3164,3.46445,-3.41483,-63.041,50.1579,100.602,1283.48,1415.46,-7.38445,30.8545,-0.381194,-0.0518174,19.6732,10.9645,-2.6789,-5.7526,0.45681,2.32945,-2.15243,15.5045,3.14444,18.1418,13.3725,7.41658,507.765,10.8638,-0.188162,0.31794,0.549651,-0.0125317,0.0585534,0.182969,-8.87967,-12.8387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Blank,1404-01-26 1027  EDIT 2.csv,oes 4ac,1404/01/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,CRM-BLANK D,1404-01-26 1027  EDIT 2.csv,oes 4ac,1404/01/26,6.1222,14.9569,-33.4679,79.9746,25.5858,1.32391,24.2329,25.2548,-0.98804,-1.5388,149.828,138.532,26.5394,233.086,275.049,-1.39344,-6.23133,6.94532,4.99857,-10.4606,-8.99578,-17.2406,12.8061,17.6666,-1.04831,-4.05173,-135.686,134.78,-3.58069,11.9923,17.3604,-96.5158,-22.1932,180.853,3.75006,5.97736,63.6663,-1.73936,-3078.15,41.6242,36.4273,2.07269,-5.80585,29.5614,34.5757,1075.8,590.556,678.566,6.32902,-8.93965,12.2594,60.8001,37.0977,67.8879,920.754,732.396,-2.88544,21.4709,-0.271433,0.243671,38.5255,3.73865,-3.97942,-0.846377,-1.96331,-5.33542,0.760608,32.5417,20.5816,6.11489,-21.4923,9.70586,4.12496,5.64968,2.96319,0.39057,0.585981,0.129691,0.091577,0.338062,14.0496,13.1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,BLANK 2663,1404-01-26 1027  EDIT 2.csv,oes 4ac,1404/01/26,-6.90408,-5.31454,-86.5972,32.6736,55.6354,102.79,17.7159,19.0461,-4.78259,-5.38711,150.664,127.16,-183.096,40.8884,79.7832,-2.03989,-6.42872,5.75138,2.69512,-11.5702,-9.46392,-13.977,7.85496,12.7454,-1.19096,-3.72164,-109.709,159.143,-1.20171,22.7133,23.5194,-43.1333,-16.9117,134.249,5.25643,6.245,65.2677,-0.561125,-3100.28,28.5742,20.9355,8.24178,0.221013,27.7802,33.2007,759.097,-11.9182,204.544,-1.45592,-12.894,22.1647,109.24,24.3036,119.816,1181.64,1201.21,-5.96465,17.1407,-0.308179,0.0974151,38.5488,11.3272,-5.2601,-2.08817,-1.07183,-14.28,4.63124,27.4911,15.7091,27.997,-8.09539,11.0439,12.3034,4.75776,4.41737,0.46686,0.722863,0.1061,0.132178,0.297122,-2.63589,-2.73503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,BLNK 1027 NIT,1404-01-26 1027  EDIT 2.csv,oes 4ac,1404/01/26,-23.0435,-15.8439,-480.987,-13.8274,37.6364,193.159,257.788,261.862,-23.1792,-25.5718,546.707,569.747,-1087.06,-238.159,-34.6902,-6.01772,-23.9781,29.9599,24.7965,-47.9118,-35.244,-56.943,-6.58449,10.4635,-10.0778,-16.6787,-936.686,162.524,-24.0969,53.642,-80.2435,-166.279,-134.253,-2342.75,9.4326,23.7753,252.589,-17.4544,-12289.3,26.4762,-3.1871,-0.989294,-31.7994,111.822,135.517,1875.96,-874.146,135.252,-19.4605,-55.9578,-10.8233,89.5183,-105.856,31.9183,136.414,225.879,12.9653,34.2446,0.503809,0.862767,63.4599,16.8141,-23.2429,-10.911,8.2625,-6.09604,3.05363,47.9012,2.12383,-60.8514,-29.5234,46.1175,-6.54474,20.9161,10.4448,1.92069,2.7939,0.090751,0.257617,0.743886,-19.2035,-19.9305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Blank,1404-01-26 1027  EDIT 3.csv,oes 4ac,1404/01/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,CRM-BLANK D,1404-01-26 1027  EDIT 3.csv,oes 4ac,1404/01/26,6.1222,14.9569,-33.4679,79.9746,25.5858,1.32391,24.2329,25.2548,-0.98804,-1.5388,149.828,138.532,26.5394,233.086,275.049,-1.39344,-6.23133,6.94532,4.99857,-10.4606,-8.99578,-17.2406,12.8061,17.6666,-1.04831,-4.05173,-135.686,134.78,-3.58069,11.9923,17.3604,-96.5158,-22.1932,180.853,3.75006,5.97736,63.6663,-1.73936,-3078.15,41.6242,36.4273,2.07269,-5.80585,29.5614,34.5757,1075.8,590.556,678.566,6.32902,-8.93965,12.2594,60.8001,37.0977,67.8879,920.754,732.396,-2.88544,21.4709,-0.271433,0.243671,38.5255,3.73865,-3.97942,-0.846377,-1.96331,-5.33542,0.760608,32.5417,20.5816,6.11489,-21.4923,9.70586,4.12496,5.64968,2.96319,0.39057,0.585981,0.129691,0.091577,0.338062,14.0496,13.1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,BLANK 2663,1404-01-26 1027  EDIT 3.csv,oes 4ac,1404/01/26,-6.90408,-5.31454,-86.5972,32.6736,55.6354,102.79,17.7159,19.0461,-4.78259,-5.38711,150.664,127.16,-183.096,40.8884,79.7832,-2.03989,-6.42872,5.75138,2.69512,-11.5702,-9.46392,-13.977,7.85496,12.7454,-1.19096,-3.72164,-109.709,159.143,-1.20171,22.7133,23.5194,-43.1333,-16.9117,134.249,5.25643,6.245,65.2677,-0.561125,-3100.28,28.5742,20.9355,8.24178,0.221013,27.7802,33.2007,759.097,-11.9182,204.544,-1.45592,-12.894,22.1647,109.24,24.3036,119.816,1181.64,1201.21,-5.96465,17.1407,-0.308179,0.0974151,38.5488,11.3272,-5.2601,-2.08817,-1.07183,-14.28,4.63124,27.4911,15.7091,27.997,-8.09539,11.0439,12.3034,4.75776,4.41737,0.46686,0.722863,0.1061,0.132178,0.297122,-2.63589,-2.73503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,BLNK 1027 NIT,1404-01-26 1027  EDIT 3.csv,oes 4ac,1404/01/26,-23.0435,-15.8439,-480.987,-13.8274,37.6364,193.159,257.788,261.862,-23.1792,-25.5718,546.707,569.747,-1087.06,-238.159,-34.6902,-6.01772,-23.9781,29.9599,24.7965,-47.9118,-35.244,-56.943,-6.58449,10.4635,-10.0778,-16.6787,-936.686,162.524,-24.0969,53.642,-80.2435,-166.279,-134.253,-2342.75,9.4326,23.7753,252.589,-17.4544,-12289.3,26.4762,-3.1871,-0.989294,-31.7994,111.822,135.517,1875.96,-874.146,135.252,-19.4605,-55.9578,-10.8233,89.5183,-105.856,31.9183,136.414,225.879,12.9653,34.2446,0.503809,0.862767,63.4599,16.8141,-23.2429,-10.911,8.2625,-6.09604,3.05363,47.9012,2.12383,-60.8514,-29.5234,46.1175,-6.54474,20.9161,10.4448,1.92069,2.7939,0.090751,0.257617,0.743886,-19.2035,-19.9305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Blank,1404-01-26 1027  EDIT.csv,oes 4ac,1404/01/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,CRM-BLANK D,1404-01-26 1027  EDIT.csv,oes 4ac,1404/01/26,6.1222,14.9569,-33.4679,79.9746,25.5858,1.32391,24.2329,25.2548,-0.98804,-1.5388,149.828,138.532,26.5394,233.086,275.049,-1.39344,-6.23133,6.94532,4.99857,-10.4606,-8.99578,-17.2406,12.8061,17.6666,-1.04831,-4.05173,-135.686,134.78,-3.58069,11.9923,17.3604,-96.5158,-22.1932,180.853,3.75006,5.97736,63.6663,-1.73936,-3078.15,41.6242,36.4273,2.07269,-5.80585,29.5614,34.5757,1075.8,590.556,678.566,6.32902,-8.93965,12.2594,60.8001,37.0977,67.8879,920.754,732.396,-2.88544,21.4709,-0.271433,0.243671,38.5255,3.73865,-3.97942,-0.846377,-1.96331,-5.33542,0.760608,32.5417,20.5816,6.11489,-21.4923,9.70586,4.12496,5.64968,2.96319,0.39057,0.585981,0.129691,0.091577,0.338062,14.0496,13.1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,BLANK 2663,1404-01-26 1027  EDIT.csv,oes 4ac,1404/01/26,-6.90408,-5.31454,-86.5972,32.6736,55.6354,102.79,17.7159,19.0461,-4.78259,-5.38711,150.664,127.16,-183.096,40.8884,79.7832,-2.03989,-6.42872,5.75138,2.69512,-11.5702,-9.46392,-13.977,7.85496,12.7454,-1.19096,-3.72164,-109.709,159.143,-1.20171,22.7133,23.5194,-43.1333,-16.9117,134.249,5.25643,6.245,65.2677,-0.561125,-3100.28,28.5742,20.9355,8.24178,0.221013,27.7802,33.2007,759.097,-11.9182,204.544,-1.45592,-12.894,22.1647,109.24,24.3036,119.816,1181.64,1201.21,-5.96465,17.1407,-0.308179,0.0974151,38.5488,11.3272,-5.2601,-2.08817,-1.07183,-14.28,4.63124,27.4911,15.7091,27.997,-8.09539,11.0439,12.3034,4.75776,4.41737,0.46686,0.722863,0.1061,0.132178,0.297122,-2.63589,-2.73503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,BLNK 1027 NIT,1404-01-26 1027  EDIT.csv,oes 4ac,1404/01/26,-0.0115218,-0.00792194,-0.240493,-0.0069137,0.0188182,0.0965794,0.128894,0.130931,-0.0115896,-0.0127859,0.273353,0.284873,-0.54353,-0.11908,-0.0173451,-0.00300886,-0.011989,0.0149799,0.0123982,-0.0239559,-0.017622,-0.0284715,-0.00329224,0.00523177,-0.00503889,-0.00833936,-0.468343,0.0812618,-0.0120485,0.026821,-0.0401217,-0.0831395,-0.0671266,-1.17138,0.0047163,0.0118876,0.126295,-0.00872722,-6.14467,0.0132381,-0.00159355,-0.000494647,-0.0158997,0.0559109,0.0677585,0.93798,-0.437073,0.0676259,-0.00973023,-0.0279789,-0.00541165,0.0447592,-0.0529282,0.0159591,0.0682069,0.11294,0.00648263,0.0171223,0.000251904,0.000431384,0.03173,0.00840705,-0.0116215,-0.00545549,0.00413125,-0.00304802,0.00152682,0.0239506,0.00106191,-0.0304257,-0.0147617,0.0230588,-0.00327237,0.010458,0.00522242,0.000960343,0.00139695,4.53755e-05,0.000128809,0.000371943,-0.00960177,-0.00996525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Blank,1404-01-26 2827RET  2814(1-14) OES.csv,oes 4ac,1404/01/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,CRM-BLANK D,1404-01-26 2827RET  2814(1-14) OES.csv,oes 4ac,1404/01/26,98.2941,84.7666,-126.809,83.7331,1.48892,44.6414,29.6297,28.5711,7.85373,6.47036,161.711,148.448,191.711,342.31,304.485,-0.0866271,-2.15843,9.00716,7.1824,-3.41435,-2.17732,0.769957,20.8763,26.7564,-8.88867,-9.99761,-105.573,154.311,16.5848,21.4681,10.805,-372.61,-7.67976,-840.845,2.45053,10.6932,76.1909,-0.66408,-2441.87,47.0399,33.8182,3.97286,-0.563719,26.8868,25.9697,3259.58,662.13,727.354,-9.86947,13.786,21.72,-11.4652,46.2552,82.3076,800.955,879.205,-7.32392,10.0383,-0.924799,-0.163985,-12.9812,-3.0128,-1.34867,-4.49553,-0.167661,-14.0092,0.702942,20.1063,9.0815,96.1243,41.6041,17.124,-39.7963,11.2559,-1.06227,0.185612,0.57048,-0.0316788,0.193002,0.285327,7.43994,3.38837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,CRM-BLANK M,1404-01-26 2827RET  2814(1-14) OES.csv,oes 4ac,1404/01/26,82.3247,68.2268,73.4175,292.684,26.4592,63.4255,27.6167,28.7364,12.9521,11.5327,155.176,154.112,656.618,821.052,699.687,0.522609,-1.84567,12.0967,5.6315,-1.01884,-1.04077,2.3137,25.1021,29.0778,-0.794536,-1.15572,317.964,548.778,9.6856,18.1048,63.5522,-307.322,32.3214,-575.165,2.01343,11.1288,74.438,-3.4299,-2385.78,95.4966,77.9038,12.2581,7.91022,24.8205,24.7053,3993.16,458.688,528.484,-16.3477,11.0455,24.0135,-10.532,184.674,166.692,512.885,500.361,-20.7167,6.04378,0.481272,-0.200789,-33.7658,-3.98889,-1.27038,-4.33033,2.20693,-6.32767,-1.35908,48.1124,34.6075,9.67158,-1.1724,24.2452,118.818,10.3173,-0.721281,0.287715,0.744559,-0.0635473,-0.0156991,0.324183,2.86815,0.15094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,BLANK 2663,1404-01-26 2827RET  2814(1-14) OES.csv,oes 4ac,1404/01/26,75.7745,61.3641,-177.783,30.6983,63.2182,47.151,26.2672,26.3492,3.69639,2.41193,149.477,180.809,-12.2115,131.901,104.816,0.814825,-1.37257,10.1573,9.61052,-3.46051,-0.180997,-0.121264,17.2671,21.3823,-8.98359,-10.7357,-65.5966,193.801,14.5386,16.8965,43.567,-378.529,-19.9945,-1552.25,2.64144,10.6991,77.5991,-5.32477,-2460.36,36.0431,19.9579,11.369,6.36019,24.9582,24.0055,3716.07,95.7414,223.0,-14.3164,3.46445,-3.41483,-63.041,50.1579,100.602,1283.48,1415.46,-7.38445,30.8545,-0.381194,-0.0518174,19.6732,10.9645,-2.6789,-5.7526,0.45681,2.32945,-2.15243,15.5045,3.14444,18.1418,13.3725,7.41658,507.765,10.8638,-0.188162,0.31794,0.549651,-0.0125317,0.0585534,0.182969,-8.87967,-12.8387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Blank,1404-01-27 OES 1022 1043.csv,oes 4ac,1404/01/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,CRM-BLANK D,1404-01-27 OES 1022 1043.csv,oes 4ac,1404/01/27,9.45824,113.35,-238.356,72.408,18.663,40.2541,26.1839,27.7959,2.65686,1.8788,164.33,149.103,139.49,327.95,290.702,-9.02783,-4.42808,9.20404,5.15822,-7.73988,-5.1938,1.16112,14.8374,7.92503,-7.52684,-4.72791,-221.054,142.645,15.2829,25.2299,25.8685,-4.33765,3.8243,-31.6436,0.310387,5.71032,68.7368,-1.20973,-2393.38,33.9141,25.6499,2.85573,-1.48956,36.1275,43.6795,2634.59,634.764,706.519,9.36806,6.06883,24.8203,-67.6876,45.9235,38.351,733.623,684.388,9.26608,-3.9689,0.722847,0.737224,32.6641,30.4958,-4.96127,-3.48426,-1.34815,34.3284,5.00232,25.6405,11.4554,128.873,-3.66998,,,-5.56204,6.80212,1.08961,1.06329,0.17639,0.149008,0.417833,18.3148,10.3838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,BLNK ZGH D256,1404-01-27 OES 1022 1043.csv,oes 4ac,1404/01/27,-2179.11,7704.75,-13014.2,20457.3,1257.01,9059.36,14230000.0,13589900.0,-97.9848,-181.409,16150.3,17528.3,22596.0,40815.0,39587.3,-937.389,-483.146,830.197,811.333,-901.361,-250.882,54.3865,-513.774,-1297.98,-701.856,-105.836,-12901.0,25789.8,1907.62,2610.03,10617.5,-12171.2,10498.1,-112688.0,23.4735,711.265,7205.79,1550.87,-252239.0,10956.9,9816.8,164.082,-78.641,3629.02,4678.68,319325000.0,,132201000.0,2498.18,-92.5284,176.084,-5637.03,5459.44,9484.54,-5758.67,15005.1,325.279,1529.59,-26.9274,92.965,1880.93,1306.59,1036.04,1116.32,-658.539,105.42,1282.29,2254.63,820.27,11980.3,1789.21,,,-618.868,773.325,80.12,109.588,48.1428,17.2674,44.1012,-251.361,-918.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Blank,1404-01-28 FIRE 1037  1022  1036  1041  1038  2663(4230-4349)(4420).csv,oes 4ac,1404/01/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Blank,1404-01-28 FIRE 1037  1022  1036  1041  1038  2663(4230-4349)(4420).csv,oes 4ac,1404/01/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,CRM-BLANK-FIRE,1404-01-28 FIRE 1037  1022  1036  1041  1038  2663(4230-4349)(4420).csv,oes 4ac,1404/01/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0151933,0.0151933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,CRM-BLANK-FIRE,1404-01-28 FIRE 1037  1022  1036  1041  1038  2663(4230-4349)(4420).csv,oes 4ac,1404/01/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Blank,1404-02-01 OES 1014 1037.csv,oes 4ac,1404/02/01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,CRM BLANK  M,1404-02-01 OES 1014 1037.csv,oes 4ac,1404/02/01,16.9889,21.6109,176.56,195.161,19.3215,53.7473,40.9091,44.6139,-1.64614,-2.50758,116.061,91.1745,829.502,829.507,815.24,-5.04227,-8.74658,6.13595,0.984589,-1.99453,-5.25922,-3.45626,11.6567,18.1154,-0.951195,-3.78461,193.145,427.753,-6.61656,4.39707,15.7035,-61.9098,95.6336,-250.446,1.10245,0.896607,33.687,0.383736,-2401.09,80.8241,84.0396,2.05328,1.59215,22.1974,24.6693,388.993,483.202,675.997,-3.77461,-0.951789,20.5634,59.8409,221.117,225.08,584.31,476.267,4.45976,0.535966,3.01882,3.44787,-0.262273,30.8666,-5.29837,-2.65006,6.68691,7.62207,0.562454,45.3805,42.2333,-39.0774,-26.9383,4.65451,26.543,2.01943,3.71581,0.443807,0.420659,0.236859,0.0570085,0.113621,11.679,9.4821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
